# EventNumber	SB0_Raw_ADC_Value	Timestamp
1	1717	46970808
22	1733	52378323
27	1711	53588030
28	1742	53637628
36	1687	56687702
41	1756	58704848
50	1717	63845675
60	1704	65816955
74	1663	69646901
88	1714	73646514
95	1720	75753384
101	1712	77477341
102	1311	77535316
107	1666	78430123
114	1736	82293169
115	1663	82385565
120	1691	83446923
130	1714	85034515
133	1698	86006700
135	1514	86558931
141	1760	88206254
150	1765	90190747
154	1728	90917250
162	1709	93630817
171	1707	96092726
172	1741	96337196
174	1729	97117371
188	1751	102559514
211	1633	109857856
223	1244	112290394
230	1709	115264132
231	1679	115333309
232	1711	116017761
234	1686	116459204
245	1676	121848074
251	1689	124257672
281	1711	134302093
289	1675	136525394
305	1744	144989286
307	969	145049212
314	1725	147518354
318	1771	148306167
320	1721	148692532
326	1640	150635969
328	1710	152594148
335	1726	154254118
345	1715	157618418
348	1643	157926521
352	1707	158595194
365	1690	164360616
368	1696	165619690
370	1735	166092720
375	1695	166924420
385	953	169301075
386	1685	169381482
391	1699	172562270
414	1722	178240355
433	1696	184600081
434	1749	184986389
439	1698	187664050
445	1695	189373801
449	1721	190960512
453	1711	191323900
456	1244	192357495
474	1670	196902759
477	1720	198092114
483	1714	199342648
486	1698	200378004
492	1706	201578652
504	1726	207282205
534	1699	215348142
535	1683	215377599
536	1682	215625779
537	1683	215633710
541	1732	216647497
546	1714	217933049
551	1718	219130192
558	1689	220713697
569	1765	226440727
571	1707	226769440
573	1740	227710015
578	1750	228711667
584	1729	232042181
613	1700	242778055
618	1711	246713299
627	1152	247952845
634	1726	249228453
636	1744	249536042
637	1741	250468733
639	1724	251272793
640	1797	251557726
649	1686	254317949
676	1751	261577069
692	1697	267767916
716	1659	274180999
720	1683	276098403
728	1759	277889644
735	1767	280731251
741	1715	282160975
742	1702	282618495
743	660	282649400
746	1665	283968223
760	1735	288763626
765	1760	289932224
781	1717	295065586
785	1719	295926013
800	1724	300370389
813	1669	302781846
816	1705	303987428
821	1700	307744543
825	1676	309311992
837	1689	312275629
838	1757	312406510
841	1746	313059710
855	1718	315716427
865	1750	318187620
872	1753	321649629
873	1699	321752837
881	1673	323993176
889	1695	328490043
896	1724	329955170
897	1765	330049370
912	1738	334183399
920	1662	335974099
930	1731	337773509
934	1704	339124897
948	1700	344105243
958	1646	348390250
960	1734	348726613
966	1650	349613221
968	1713	349812773
984	1729	352778624
988	1722	353077934
989	1088	353090542
991	1714	353486718
993	1714	353710786
998	1750	355493261
